,id_season,tm,opp,game_nb,before_average_W_ratio,before_average_W_ratio_opp,extdom_ext,rest,before_average_pts_tm,before_average_pts_opp,before_average_pts_tm_opp,before_average_pts_opp_opp,id,results
46,2010,ATL,MIL,70,0.6521739130434783,0.5588235294117647,1,1,102.5,97.7,98.1,96.4,2010-03-22_ATL_MIL,0
47,2010,ATL,ORL,71,0.6428571428571429,0.704225352112676,0,2,102.4,97.7,102.1,95.0,2010-03-24_ORL_ATL,1
48,2010,ATL,PHI,72,0.647887323943662,0.3472222222222222,1,2,102.2,97.5,97.0,100.6,2010-03-26_ATL_PHI,0
49,2010,ATL,LAL,74,0.6438356164383562,0.7297297297297297,0,3,102.0,97.4,102.5,96.9,2010-03-31_LAL_ATL,1
50,2010,ATL,CLE,75,0.6486486486486487,0.7866666666666666,1,2,102.1,97.4,102.1,94.8,2010-04-02_ATL_CLE,0
51,2010,ATL,DET,76,0.64,0.3066666666666666,0,1,101.9,97.3,93.5,99.2,2010-04-03_DET_ATL,1
52,2010,ATL,CHA,77,0.6447368421052632,0.5263157894736842,1,3,101.8,97.1,95.0,93.5,2010-04-06_ATL_CHA,0
53,2010,ATL,DET,78,0.6363636363636364,0.3116883116883117,1,1,101.8,97.3,93.7,99.1,2010-04-07_ATL_DET,0
54,2010,ATL,TOR,79,0.6282051282051282,0.4871794871794871,0,2,101.6,97.2,103.9,105.9,2010-04-09_TOR_ATL,1
55,2010,ATL,WAS,80,0.6329113924050633,0.3164556962025316,1,1,101.6,97.2,96.2,100.9,2010-04-10_ATL_WAS,1
56,2010,ATL,MIL,81,0.6375,0.5625,1,2,101.7,97.2,97.6,95.9,2010-04-12_ATL_MIL,1
57,2010,ATL,CLE,82,0.6419753086419753,0.7530864197530864,0,2,101.7,97.2,102.3,95.5,2010-04-14_CLE_ATL,1
58,2010,BOS,CHI,3,1.0,1.0,0,2,93.5,74.0,92.0,85.0,2009-10-30_CHI_BOS,1
59,2010,BOS,PHI,5,1.0,0.6666666666666666,1,2,100.5,81.2,115.3,111.0,2009-11-03_BOS_PHI,1
60,2010,BOS,MIN,6,1.0,0.25,1,1,101.4,79.8,96.0,102.5,2009-11-04_BOS_MIN,1
61,2010,BOS,NJN,8,0.8571428571428571,0.0,1,1,100.3,85.6,89.7,101.8,2009-11-07_BOS_NJN,1
62,2010,BOS,UTA,9,0.875,0.4285714285714285,0,4,98.5,84.4,100.6,102.4,2009-11-11_UTA_BOS,1
63,2010,BOS,IND,11,0.8,0.5,1,1,97.9,85.8,99.3,99.3,2009-11-14_BOS_IND,0
64,2010,BOS,GSW,12,0.7272727272727273,0.3,0,4,98.5,88.3,111.2,113.7,2009-11-18_GSW_BOS,1
65,2010,BOS,ORL,13,0.75,0.75,0,2,99.3,88.8,100.4,94.8,2009-11-20_ORL_BOS,0
66,2010,BOS,NYK,14,0.6923076923076923,0.25,1,2,97.7,88.4,101.1,108.0,2009-11-22_BOS_NYK,1
67,2010,BOS,PHI,15,0.7142857142857143,0.3571428571428571,0,3,98.4,89.6,96.7,101.1,2009-11-25_PHI_BOS,1
68,2010,BOS,MIA,17,0.75,0.6,1,2,100.4,91.7,96.1,95.3,2009-11-29_BOS_MIA,1
69,2010,BOS,CHA,18,0.7647058823529411,0.4375,1,2,99.9,91.3,88.2,87.9,2009-12-01_BOS_CHA,1
70,2010,BOS,SAS,19,0.7777777777777778,0.6,1,2,100.3,91.2,101.1,96.5,2009-12-03_BOS_SAS,1
71,2010,BOS,MIL,21,0.8,0.4736842105263157,0,4,100.0,90.6,98.3,98.3,2009-12-08_MIL_BOS,1
72,2010,BOS,CHI,23,0.8181818181818182,0.3809523809523809,1,2,100.1,91.0,90.9,98.7,2009-12-12_BOS_CHI,1
73,2010,BOS,MEM,24,0.8260869565217391,0.4347826086956521,1,2,100.4,90.6,101.5,104.4,2009-12-14_BOS_MEM,1
74,2010,BOS,MIN,26,0.8,0.1851851851851851,0,2,100.6,91.4,94.0,104.3,2009-12-20_MIN_BOS,1
75,2010,BOS,GSW,30,0.7931034482758621,0.2758620689655172,1,1,100.6,91.5,107.2,112.3,2009-12-28_BOS_GSW,0
